Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,PU,Duration,% Reune,Indexador,Data
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.9585,7.5563,7.7521,0.147,1016.03409,1553.22,,IPCA +,2024-11-12
ATHT11,ATHON GERACAO DISTRIBUIDA III S.A. (*),15/09/2041,"IPCA + 7,3293%",7.765,7.3721,7.5797,0.1155,0.999437,1605.8,0.15,IPCA +,2024-11-12
ATII12,ATHON GERACAO DISTRIBUIDA II S.A. (*),15/09/2041,"IPCA + 7,3293%",7.736,7.3735,7.5808,0.1159,0.99937,1605.75,0.15,IPCA +,2024-11-12
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",7.3315,7.0097,7.1492,0.0533,973.686534,1650.91,0.5,IPCA +,2024-11-12
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",8.1941,7.8414,7.9939,0.1394,1014.315814,2307.95,0.4,IPCA +,2024-11-12
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",7.1133,6.8591,7.0295,0.0479,988.066189,963.99,,IPCA +,2024-11-12
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.6688,7.3952,7.531,0.0912,1014.224277,1986.53,0.45,IPCA +,2024-11-12
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",7.1058,6.6839,6.8892,0.1962,1261.133676,742.9,0.1,IPCA +,2024-11-12
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",8.4013,6.839,8.3067,2.1192,N/D,N/D,,IPCA +,2024-11-12
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.4414,8.0257,8.1852,0.2405,1124.208764,1601.79,,IPCA +,2024-11-12
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.3921,7.0945,7.1889,0.2273,1220.78482,429.14,0.35,IPCA +,2024-11-12
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",8.1381,7.7988,8.1141,0.2826,1047.809069,1787.15,,IPCA +,2024-11-12
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.8917,7.545,7.7092,0.2964,1178.858903,706.96,0.05,IPCA +,2024-11-12
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.6054,7.2131,7.4174,0.2447,1095.061598,1630.82,,IPCA +,2024-11-12
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",7.511,7.0512,7.2945,0.1709,1050.657953,1256.56,,IPCA +,2024-11-12
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",6.3962,5.4357,5.779,0.7446,621.333887,22,,IPCA +,2024-11-12
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.3837,7.0019,7.2139,0.08,11724.407419,1233.43,0.35,IPCA +,2024-11-12
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,7.036,0.7183,622.160186,22,,IPCA +,2024-11-12
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",10.0969,9.1931,9.6577,0.3252,1123.942965,973.78,,IPCA +,2024-11-12
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.4734,7.1599,7.3015,0.0818,1329.677275,1347.79,,IPCA +,2024-11-12
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.4749,7.1866,7.3257,0.1617,1348.870644,1341.38,0.05,IPCA +,2024-11-12
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.467,7.1554,7.303,0.082,1350.390471,1341.74,,IPCA +,2024-11-12
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.4942,7.2023,7.3759,0.1347,1345.518237,1340.6,0.05,IPCA +,2024-11-12
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",--,--,7.9613,0.31,1126.966505,1256.45,,IPCA +,2024-11-12
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,--,--,7.2217,0.4154,739.983927,3,,IPCA +,2024-11-12
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",7.1722,6.8111,7.0432,0.1091,963.430794,1416.38,0.05,IPCA +,2024-11-12
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",7.0726,6.5588,6.7926,0.186,1243.85948,476.01,,IPCA +,2024-11-12
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",7.2024,6.9105,7.0433,0.0924,1125.328041,1627.94,0.5,IPCA +,2024-11-12
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",7.2974,6.9482,7.1728,0.31,985.178938,635.6,,IPCA +,2024-11-12
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",7.2882,6.9874,7.1304,0.1004,1050.486283,1092.55,,IPCA +,2024-11-12
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",7.411,7.1043,7.2209,0.1139,1041.845291,1546.77,,IPCA +,2024-11-12
CEAR25,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,15/12/2024,"IPCA + 6,0013%",--,--,5.9203,0.6389,735.0683,22,,IPCA +,2024-11-12
CEAR26,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,15/06/2025,"IPCA + 6,1965%",5.4886,5.0625,5.2581,0.1182,727.390338,141.31,,IPCA +,2024-11-12
CEEBA1,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,15/08/2025,"IPCA + 6,2214%",5.8303,5.4309,5.5898,0.2239,471.560213,184.29,,IPCA +,2024-11-12
CEEBB6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/08/2030,"IPCA + 6,25%",7.1854,6.8786,7.0476,0.0512,1035.165446,1120.87,,IPCA +,2024-11-12
CEEBB7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/11/2033,"IPCA + 6,1%",7.3265,6.9774,7.1655,0.0891,1009.956456,1553.2,0.15,IPCA +,2024-11-12
CEEBC3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/10/2031,"IPCA + 5,8224%",7.2095,6.8677,7.0677,0.1408,1113.519147,1259.8,,IPCA +,2024-11-12
CEEBC4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/04/2032,"IPCA + 6,2792%",7.2248,6.9027,7.0751,0.0845,1074.034735,1333.43,0.1,IPCA +,2024-11-12
CEED12,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/12/2029,"IPCA + 7,1498%",7.3063,6.9774,7.0961,0.1201,1125.474972,1061.8,0.05,IPCA +,2024-11-12
CEED13,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/07/2030,"IPCA + 6,5%",7.2815,6.8337,7.0739,0.1303,1052.77177,1092.86,0.05,IPCA +,2024-11-12
CEED15,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/05/2036,"IPCA + 6,5596%",7.4974,7.0818,7.3061,0.1944,990.548678,1810.01,,IPCA +,2024-11-12
CEED21,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,15/08/2029,"IPCA + 5,4409%",7.1925,6.6008,6.9647,0.2403,1155.314873,948.21,,IPCA +,2024-11-12
CEMT19,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15/09/2025,"IPCA + 5,0797%",5.6252,4.9412,5.2321,0.2203,464.117238,205.96,,IPCA +,2024-11-12
CEPE19,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE,15/07/2025,"IPCA + 6,0352%",5.5613,5.1256,5.3626,0.1391,474.588581,161.4,,IPCA +,2024-11-12
CEPEB3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/11/2033,"IPCA + 6,1%",7.3372,6.9674,7.1471,0.161,1011.026017,1553.52,,IPCA +,2024-11-12
CEPEC1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/10/2031,"IPCA + 5,875%",7.1915,6.8663,7.0356,0.0784,1118.090176,1258.72,,IPCA +,2024-11-12
CEPEC2,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/04/2032,"IPCA + 6,2792%",7.1754,6.8956,7.0426,0.078,1075.761554,1333.72,,IPCA +,2024-11-12
CESE32,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*),15/09/2030,"IPCA + 7,4941%",7.2636,6.9477,7.075,0.1748,1081.821937,1117.77,0.05,IPCA +,2024-11-12
CESPA2,CESP-COMPANHIA ENERGETICA DE SAO PAULO (*) (**),15/08/2030,"IPCA + 4,3%",7.1932,6.8252,7.0395,0.095,1190.321287,1064.22,0.05,IPCA +,2024-11-12
CESPA3,CESP-COMPANHIA ENERGETICA DE SAO PAULO (*),15/04/2034,"IPCA + 6,1661%",7.4261,6.8052,7.1044,0.1774,969.84423,1657.16,0.1,IPCA +,2024-11-12
CGASB1,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),15/07/2039,"IPCA + 6,4504%",6.9232,6.6123,6.7815,0.0388,998.915043,2278.64,0.05,IPCA +,2024-11-12
CGMG18,COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG,15/08/2031,"IPCA + 5,27%",7.1482,6.831,7.029,0.0972,1124.014144,848.86,0.05,IPCA +,2024-11-12
CGOS13,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/04/2031,"IPCA + 7,1%",7.291,6.9114,7.1241,0.0914,1063.810041,1141.55,,IPCA +,2024-11-12
CGOS16,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/05/2036,"IPCA + 6,4895%",7.3483,7.0723,7.2514,0.1007,990.729387,1813.33,0.45,IPCA +,2024-11-12
CGOS24,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/10/2031,"IPCA + 6,4407%",7.3002,6.9619,7.1473,0.1034,1019.531187,1244.14,,IPCA +,2024-11-12
CGOS28,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/09/2036,"IPCA + 6,6493%",7.4468,7.1212,7.2551,0.0863,970.527085,1889.33,0.1,IPCA +,2024-11-12
CGOS34,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/10/2035,"IPCA + 6,6789%",7.4279,7.0521,7.2693,0.1205,1013.417106,1770.44,0.45,IPCA +,2024-11-12
CHSF13,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),15/06/2031,"IPCA + 6,767%",7.34,7.0714,7.1538,0.0742,1023.032985,1320.57,0.5,IPCA +,2024-11-12
CJEN13,TESC-TERMINAL SANTA CATARINA S/A (*),15/12/2035,"IPCA + 8,1693%",8.3184,7.8736,8.1877,0.284,1186.956994,1189.11,,IPCA +,2024-11-12
CLAG13,COLOMBO AGROINDUSTRIA SA (*),15/07/2028,"IPCA + 5,4806%",7.4831,7.0692,7.3783,0.1521,1177.421158,612.11,,IPCA +,2024-11-12
CLCD26,CELESC DISTRIBUIÇÃO S/A (*),15/11/2030,"IPCA + 6,5279%",7.2142,6.8039,7.0806,0.1102,1057.038152,1050.41,,IPCA +,2024-11-12
CLCD27,CELESC DISTRIBUIÇÃO S/A (*),15/07/2034,"IPCA + 6,9534%",7.3104,6.9754,7.1522,0.1205,1018.96292,1601.37,0.45,IPCA +,2024-11-12
CLNG11,CALANGO 6 ENERGIA RENOVAVEL S.A.,27/06/2028,"IPCA + 8,7345%",7.093,6.7047,6.8755,0.405,972.408146,305.05,,IPCA +,2024-11-12
CLTM14,CONCESSIONARIA DAS LINHAS 8 E 9 DO SISTEMA DE TRENS METROPOLITANOS DE SAO PAULO S.A. (*),15/01/2042,"IPCA + 7,25%",8.3497,7.9903,8.118,0.144,994.735078,1661.34,0.35,IPCA +,2024-11-12
CMDT33,CEMIG DISTRIBUIÇÃO S/A,15/02/2025,"IPCA + 5,1%",5.9583,5.3709,5.5219,0.4419,501.753717,65,,IPCA +,2024-11-12
CMGD27,CEMIG DISTRIBUIÇÃO S/A,15/06/2026,"IPCA + 4,1%",5.821,5.41,5.736,0.4033,1349.029067,260.41,0.35,IPCA +,2024-11-12
CMGD28,CEMIG DISTRIBUIÇÃO S/A (*),15/06/2029,"IPCA + 6,1052%",7.1459,6.7003,6.9253,0.1871,1090.58718,895.43,,IPCA +,2024-11-12
CMGDB0,CEMIG DISTRIBUIÇÃO S/A (*),15/02/2034,"IPCA + 6,1469%",7.1848,6.8735,7.0001,0.0968,988.265877,1617.96,0.5,IPCA +,2024-11-12
CMGDB1,CEMIG DISTRIBUIÇÃO S/A (*),15/09/2036,"IPCA + 6,5769%",7.2691,6.874,7.0688,0.1012,978.551786,2023.44,,IPCA +,2024-11-12
CMIN11,CSN MINERACAO S.A. (*),15/07/2031,"IPCA + 4,879%",7.6821,7.2089,7.4761,0.2466,1073.36319,1400.76,,IPCA +,2024-11-12
CMIN12,CSN MINERACAO S.A.,15/07/2032,"IPCA + 6,8798%",7.6636,7.2363,7.4625,0.0909,1085.849519,1488.77,,IPCA +,2024-11-12
CMIN21,CSN MINERACAO S.A. (*),15/07/2036,"IPCA + 5,021%",--,7.3697,7.7147,0.2278,1011.619113,1920.08,,IPCA +,2024-11-12
CMIN22,CSN MINERACAO S.A.,15/07/2037,"IPCA + 7,0673%",7.993,7.4247,7.6731,0.1868,1073.156582,1978.41,0.05,IPCA +,2024-11-12
CMTR29,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),15/12/2029,"IPCA + 7,6245%",7.1812,6.8492,7.0425,0.0988,1151.90397,1052.89,,IPCA +,2024-11-12
CNRD11,CONCESSIONARIA DA RODOVIA MS 306 S.A. (*) (**),15/12/2035,IPCA + 6%,8.3378,7.9991,8.1521,0.1437,1155.747657,1378.26,,IPCA +,2024-11-12
COCE18,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),15/05/2032,"IPCA + 6,2137%",7.4662,6.9458,7.3218,0.2081,1073.604833,1310.17,0.1,IPCA +,2024-11-12
COMR14,COMERC PARTICIPACOES S.A. (*),15/11/2038,"IPCA + 7,9171%",7.58,7.2383,7.4235,0.1038,1108.642041,1508.33,0.5,IPCA +,2024-11-12
COMR15,COMERC PARTICIPACOES S.A. (*),15/04/2040,"IPCA + 7,2209%",7.7003,7.3267,7.5152,0.0964,962.495726,1648.5,,IPCA +,2024-11-12
CONF11,CONFLUENCIA ENERGIA S/A (*),15/11/2041,"IPCA + 6,6018%",7.6497,7.1708,7.4053,0.1531,1177.556614,1684.86,,IPCA +,2024-11-12
CONX12,TRIPLE PLAY BRASIL PARTICIPACOES S.A. (*),15/08/2029,"IPCA + 7,684%",--,11.5636,11.6133,0.2402,1011.794923,701.4,0.15,IPCA +,2024-11-12
CPFGA2,CPFL TRANSMISSAO S.A (*),15/05/2031,"IPCA + 6,0265%",7.233,6.7438,7.109,0.2278,1081.055341,1146.97,0.1,IPCA +,2024-11-12
CPFPA0,COMPANHIA PIRATININGA DE FORÇA E LUZ,15/08/2025,"IPCA + 5,8%",5.4641,4.947,5.1719,0.284,708.032538,184.53,,IPCA +,2024-11-12
CPFPA5,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),15/10/2033,"IPCA + 6,1774%",7.0877,6.7041,6.9142,0.1328,1007.383575,1583.81,,IPCA +,2024-11-12
CPFPA7,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),15/04/2034,"IPCA + 6,235%",7.1258,6.8111,6.9921,0.1255,978.428646,1656.23,,IPCA +,2024-11-12
CPFPB7,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),15/04/2039,"IPCA + 6,3018%",7.022,6.6721,6.861,0.0834,977.190951,2290.61,,IPCA +,2024-11-12
CPGT15,COPEL GERAÇÃO E TRANSMISSÃO S/A,15/09/2025,"IPCA + 7,6475%",5.5815,4.8467,5.1277,0.2504,285.621832,204.56,,IPCA +,2024-11-12
CPGT26,COPEL GERAÇÃO E TRANSMISSÃO S/A,15/07/2025,"IPCA + 3,9%",5.2228,4.7302,5.0468,0.1773,1354.629708,162.62,0.05,IPCA +,2024-11-12
CPGT27,COPEL GERAÇÃO E TRANSMISSÃO S/A (*),15/10/2031,"IPCA + 5,7138%",7.3364,6.8503,7.2164,0.2072,1094.410652,1261.49,,IPCA +,2024-11-12
CPGT28,COPEL GERAÇÃO E TRANSMISSÃO S/A (*),15/01/2035,"IPCA + 6,8226%",7.361,6.9476,7.1374,0.1174,1086.484382,1706.05,,IPCA +,2024-11-12
CPLD26,COPEL DISTRIBUICAO S/A (*),15/06/2031,"IPCA + 4,7742%",7.0843,6.5697,6.8123,0.1556,1132.861457,1203.97,,IPCA +,2024-11-12
CPLD29,COPEL DISTRIBUICAO S/A (*),15/05/2036,"IPCA + 6,2831%",7.1197,6.849,6.934,0.1179,1002.436088,1695.48,0.45,IPCA +,2024-11-12
CPLD37,COPEL DISTRIBUICAO S/A (*),15/05/2032,"IPCA + 6,1732%",7.1295,6.7756,6.9582,0.0834,1087.523667,1315.35,0.35,IPCA +,2024-11-12
CPTM15,LIGGA TELECOMUNICACOES S.A (*),15/09/2030,"IPCA + 8,8507%",12.7424,12.346,12.4378,0.1974,986.51048,977.63,0.45,IPCA +,2024-11-12
CPXB22,ETC - EMPRESA TRANSMISSORA CAPIXABA S.A (*),15/09/2025,"IPCA + 6,1675%",5.796,5.3545,5.5696,0.217,704.941791,205.35,0.35,IPCA +,2024-11-12
CRMG15,CONCESSIONÁRIA DA RODOVIA MG-050 S/A (*),15/12/2030,"IPCA + 5,9668%",8.1359,7.7953,7.956,0.1609,1028.25789,781.3,,IPCA +,2024-11-12
CRTR12,CONCESSIONARIA RODOVIAS DO TRIANGULO SPE S.A. (*),15/08/2041,"IPCA + 7,3201%",8.0205,7.6408,7.7877,0.1541,990.589284,1911.34,,IPCA +,2024-11-12
CSAN33,COSAN S.A. (*),15/08/2031,"IPCA + 5,7531%",--,--,8.4229,0.0627,1086.347789,1209.28,,IPCA +,2024-11-12
CSMGA2,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),15/01/2026,"IPCA + 5,2737%",5.28,4.5969,4.9344,0.1369,545.573683,162.87,,IPCA +,2024-11-12
CSMGA6,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),15/09/2031,"IPCA + 5,2306%",7.1449,6.7278,6.9602,0.1479,993.170824,851.54,,IPCA +,2024-11-12
CSMGB4,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),15/06/2026,"IPCA + 4,3%",6.5155,5.5979,6.1028,0.1471,676.973436,200.97,,IPCA +,2024-11-12
CSMGB8,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),15/09/2030,"IPCA + 7,1%",7.7645,7.217,7.5172,0.121,1049.080873,830.32,,IPCA +,2024-11-12
CSMGB9,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),15/07/2034,"IPCA + 7,2735%",7.8921,7.3682,7.8163,0.0794,993.466109,1226.21,,IPCA +,2024-11-12
CSMGC3,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),15/07/2025,"IPCA + 6,501%",--,--,6.023,0.1815,474.811773,101.59,,IPCA +,2024-11-12
CSNAA4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2030,"IPCA + 6,5%",--,--,8.246,0.0368,999.560783,1173.84,0.35,IPCA +,2024-11-12
CSNAA5,COMPANHIA SIDERÚRGICA NACIONAL (*),15/04/2034,"IPCA + 6,83%",8.0843,7.6754,7.7612,0.1231,970.090778,1618.83,0.35,IPCA +,2024-11-12
CSNAB4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2033,"IPCA + 6,8%",8.103,7.641,7.8902,0.2571,1016.763215,1480.73,,IPCA +,2024-11-12
CSNAB5,COMPANHIA SIDERÚRGICA NACIONAL (*),15/04/2039,"IPCA + 6,9924%",8.2268,7.7805,8.0736,0.1016,939.552718,2180.78,,IPCA +,2024-11-12
CSNAC4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2038,IPCA + 7%,--,--,8.2604,0.0284,980.403944,2058.28,,IPCA +,2024-11-12
CSNP12,COMPANHIA ENERGÉTICA SINOP S.A. (*) (**),15/06/2032,"IPCA + 7,9461%",8.2913,7.933,8.1452,0.2096,1308.140657,886.39,0.4,IPCA +,2024-11-12
CSRN19,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN,15/04/2026,"IPCA + 4,2542%",7.1755,6.8494,7.0799,0.1982,1305.420623,347.21,,IPCA +,2024-11-12
CSRN29,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN,15/04/2029,"IPCA + 4,4986%",7.1393,6.699,6.9386,0.2565,1259.629188,791.39,,IPCA +,2024-11-12
CSRNA1,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*) (**),15/06/2028,"IPCA + 6,4482%",7.291,6.7812,7.128,0.307,1062.043312,795.3,,IPCA +,2024-11-12
CSRNB2,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*),15/03/2034,"IPCA + 6,0691%",7.3428,7.0121,7.1574,0.1273,966.798031,1638.53,,IPCA +,2024-11-12
